タイムスタンプ,受付,国籍※国籍が分かる場合「その他」に国名を記入,時間帯,目的,人数,性別,年齢,問い合わせ内容,Komatsu九館内の案内,交通,目的地※主な所を一ヶ所,周辺店舗、飲食店※複数可,観光案内,パンフレットお渡し,物産,宿泊,イベント,その他（落とし物、ATM、公衆電話、授乳室など）,問い合わせ内容/回答
2025/05/17,電話,1.日本,13時台,観光,個人,男性,40代から50代,小松城のパンフレットの問い合わせ,小松城のパンフレットの問い合わせ,,,,,,,,,,小松城のパンフレットの問い合わせ。TOSHITSUNEのパンフレットに小松城のことが出ているとお伝えしました。夕方に取りに来られるとのことで用意しました。(林)
2025/05/17,窓口,1.日本,08時台,市民利用,個人,女性,40代から50代,Komatsu九館内,お手洗い,,,,,,,,,,
2025/05/18,窓口,1.日本,08時台,市民利用,個人,女性,40代から50代,交通,,駐車場,不明,,,,,,,,タイムズの駐車場に停めたが狭いので他にないか、お問い合わせ　１日400円、サイエンスヒルズ、立体駐車場を案内しました(大音)
2025/05/18,窓口,2.アジア,13時台,観光,個人,女性,40代から50代,交通,,バス,イオンモール,,,,,,,,イオンモールのバス乗り場のお問い合わせ　案内しました(大音)
2025/05/18,窓口,1.日本,14時台,観光,個人,男性,40代から50代,交通,,バス,グリーンホテル,,,,,,,,グリーンホテルまでバスで行きたい、安宅線でのご案内(見付)
2025/05/18,窓口,1.日本,14時台,観光,個人,男性,20代から30代,観光案内,,,,,航空プラザ,お渡しなし,,,,,航空プラザに行く交通手段のお問い合わせ、小松空港行のバスを案内しました(大音)
2025/05/19,窓口,1.日本,10時台,観光,個人,男性,40代から50代,観光案内,,,,,"安宅住吉神社、安宅の関, 浅井畷古戦場、串茶屋資料館","見て歩きマップ, 個別のパンフレット",,,,,バス、シェアサイクルでの移動手段でご案内(見付)
2025/05/19,窓口,1.日本,12時台,市民利用,個人,女性,60代以上,交通,,バス,三協フロンティア福乃宮店,,,,,,,,三協フロンティア福乃宮店までのアクセス。近くまで止まるバスが無い為徒歩のルートをご案内しました（田中）
2025/05/19,窓口,1.日本,10時台,観光,個人,男性,40代から50代,物産,,,,,,,食品,,,,駅弁
2025/05/19,窓口,1.日本,12時台,市民利用,個人,男性,60代以上,Komatsu九館内,お手洗い,,,,,,,,,,
2025/05/19,窓口,1.日本,12時台,市民利用,個人,男性,40代から50代,Komatsu九館内,UNICOFFEE,,,,,,,,,,
2025/05/19,窓口,1.日本,12時台,市民利用,個人,男性,40代から50代,交通,,バス,イオンモール新小松,,,,,,,,
2025/05/19,電話,1.日本,13時台,観光,個人,男性,40代から50代,交通,,バス,那谷寺,,,,,,,,東京から来県予定、那谷寺〜ゆのくにの森〜粟津温泉〜粟津駅　バス、タクシー、徒歩などの手段と時刻などのご案内(見付)
2025/05/20,窓口,1.日本,08時台,観光,2〜5人,男女,60代以上,交通,,バス,山中温泉,,,,,,,,山中温泉の川床に行きたいとのことで加賀温泉からの路線バスの案内をしました。(林)
2025/05/20,窓口,1.日本,10時台,市民利用,個人,女性,40代から50代,交通,,バス,本江西、イオンモール,,,,,,,,本江西のバス停に行きたい。乗り場と時間案内、イオンモールのバス時間を知りたい。時刻表をお渡ししました。(林)
2025/05/20,窓口,1.日本,10時台,観光,2〜5人,男女,40代から50代,交通,,バス,市役所,,,,,,,,循環バス時刻表をお渡ししました。(林)
2025/05/20,窓口,1.日本,10時台,ビジネス,個人,男性,40代から50代,Komatsu九館内,UNICOFFEE,,,,,,,,,,
2025/05/20,窓口,1.日本,12時台,市民利用,個人,女性,60代以上,交通,,タクシー,安宅住吉神社、勧進帳ものがたり館,,,,,,,,安宅の関までタクシーでどれくらいか。10分ほどとご案内しました（田中）
2025/05/20,窓口,1.日本,12時台,観光,個人,男性,20代から30代,物産,,,,,,,駅弁,,,,
2025/05/20,窓口,1.日本,16時台,観光,個人,女性,40代から50代,Komatsu九館内,観光,,,,,,,,,,羽生さんにチラシはないですか。聞かれ、ありません。と伝えました。パネルと一緒に写真を撮りました。近場の観光を聞かれたので、みよっさ案内しました。(林)
2025/05/21,窓口,1.日本,11時台,観光,2〜5人,男女,60代以上,周辺店舗、飲食店,,,,ランチ,,,,,,,つるっとへ行きたい。案内しました。加賀温泉の地図が欲しい。るるぶ加賀の國お渡しして、加賀温泉駅でお聞きください。お伝えしました。(林)
2025/05/23,窓口,1.日本,08時台,市民利用,個人,女性,40代から50代,交通,,バス,高速バスの乗り場,,,,,,,,
2025/05/23,電話,1.日本,09時台,市民利用,個人,女性,20代から30代,観光案内,,,,,小松運動公園バラ園,お渡しなし,,,,,小松運動公園バラ園についてお問い合わせ。犬と一緒に入れるか。小松市緑化公園課の電話番号0761-24-8108をご案内しました（田中）
2025/05/23,窓口,2.アジア,18時台,観光,家族連れ,女性,20代から30代,交通,,バス,小松空港,,,,,,,,中国圏のお客様、空港までのバスの時刻、料金、支払い方法のご案内(見付)
2025/05/24,窓口,1.日本,10時台,ビジネス,個人,男性,20代から30代,交通,,バス,北陸先端技術大学行きのバス乗り場,,,,,,,,北陸先端技術大学行きのバス乗り場のお問い合わせ
2025/05/24,電話,1.日本,12時台,観光,個人,女性,40代から50代,観光案内,,,,,加賀市の漁港についてのお問い合わせ,お渡しなし,,,,,11月に加賀市に旅行に行き漁港、復興割引はあるかのお問い合わせ　加賀市観光案内所を案内しました（大音）
2025/05/24,窓口,1.日本,14時台,観光,個人,女性,60代以上,交通,,バス,粟津温泉,,,,,,,,粟津温泉までのバス乗り場と時刻のご案内(見付)
2025/05/24,窓口,1.日本,15時台,観光,個人,男性,40代から50代,交通,,IRとバス,たがわ龍泉閣,,,,,,,,たがわ龍泉閣までIRと能美市のバスでの行き方、またはタクシーと交通手段のご案内(見付)
2025/05/24,窓口,1.日本,17時台,観光,2〜5人,女性,60代以上,周辺店舗、飲食店,,,,ディナー,,,,,,,
2025/05/24,窓口,1.日本,17時台,観光,2〜5人,男性,60代以上,周辺店舗、飲食店,,,,寿司,,,,,,,
2025/05/25,窓口,1.日本,09時台,観光,個人,男性,40代から50代,Komatsu九館内,喫煙所,,,,,,,,,,
2025/05/25,窓口,1.日本,09時台,観光,個人,女性,60代以上,Komatsu九館内,お手洗い,,,,,,,,,,
2025/05/25,窓口,1.日本,10時台,市民利用,2〜5人,女性,40代から50代,Komatsu九館内,UNICOFFEE,,,,,,,,,,
2025/05/25,窓口,1.日本,10時台,観光,個人,女性,40代から50代,周辺店舗、飲食店,,,,道の駅小松,,,,,,,道の駅小松への
2025/05/25,窓口,1.日本,13時台,市民利用,個人,男性,20代から30代,土産店で購入した際に熨斗を付けてもらえるか,土産店について,,,,,,,,,,土産店で購入した際に熨斗を付けてもらえるかのお問い合わせで、ご用意できますとお答えしました（大音)
2025/05/26,窓口,1.日本,10時台,観光,個人,女性,40代から50代,交通,,バス,小松空港,,,,,,,,夕方小松空港に行くまでの間どこか見れる所をお探しのお客様、見て歩きマップ、みよっさ、錦窯、せめてきまっしパンフレットなどお渡し、小松うどんを食べるとの事で空港店と中佐中店ご案内(見付)
2025/05/26,窓口,1.日本,10時台,観光,2〜5人,女性,60代以上,交通,,タクシー,ハニベ巌窟院,,,,,,,,ハニべまでタクシーでの所要時間と近くの花屋さんのお問い合わせ、ライラックさんご案内(見付)
2025/05/26,窓口,1.日本,11時台,観光,個人,女性,60代以上,交通,,バス,永平寺,,,,,,,,小松駅から芦原温泉駅まで行くお客様、芦原温泉駅から永平寺までのバスはあるかお問い合わせ、お調べして時刻表のお渡し(見付)
2025/05/26,窓口,3.欧米,11時台,観光,2〜5人,男女,60代以上,観光案内,,,,,那谷寺,個別のパンフレット,,,,,那谷寺までの時刻と所要時間のご案内と、駅周辺　みよっさ、錦窯展示館のご案内(見付)
2025/05/27,窓口,1.日本,08時台,観光,個人,男性,60代以上,Komatsu九館内,お手洗い,,,,,,,,,,
2025/05/27,窓口,2.アジア,11時台,観光,個人,男性,20代から30代,観光案内,,,,,"木場潟公園, 那谷寺",個別のパンフレット,,,,,中国圏のお客様、小松の自然が見れる所のお問い合わせで木場潟、那谷寺、石切り場などご案内(見付)
2025/05/27,窓口,1.日本,08時台,ビジネス,個人,男女,40代から50代,交通,,シェアサイクル,ネットで予約したが鍵が開かない,,,,,,,,前はネットで予約して乗れたが、今回は鍵が開かない。パンフレットを見て説明してもう一度してもらいましたが開きませんでした。明日もシェアサイクルを利用するとのことで、ネット予約部分は明日利用、今日の分は土産店で購入されました。パンフレットの問い合わせ先もお知らせしました。(林)
2025/05/27,窓口,1.日本,14時台,観光,家族連れ,男女,60代以上,観光案内,,,,,安宅住吉神社、安宅の関,安宅の関、勧進帳ものがたり館,,,,,安宅の関までのバスを聞かれ時刻表で案内。待ち時間が長くタクシーで行くことになりました。（林)
2025/05/27,窓口,1.日本,15時台,ビジネス,個人,男性,20代から30代,Komatsu九館内,UNICOFFEE,,,,,,,,,,
2025/05/28,窓口,2.アジア,12時台,観光,2〜5人,女性,40代から50代,交通,,バス,尾小屋資料館、滝ヶ原、鞍掛山,,,,,,,,尾小屋資料館へのバスは最寄りのバス停から歩いて2時間、滝ヶ原へは最寄りのバス停から30分と案内。山にハイキングに行きたい。鞍掛山を案内。(林)
2025/05/29,窓口,3.欧米,08時台,観光,個人,女性,20代から30代,交通,,バス,小松空港,,,,,,,,お空港行きのバス停、時刻のお問い合わせ、時刻表をお渡しし案内しました　(大音)
2025/05/29,窓口,3.欧米,08時台,観光,個人,女性,20代から30代,Komatsu九館内,お手洗い,,,,,,,,,,トイレのお問い合わせ　案内しました　(大音)
2025/05/30,窓口,1.日本,09時台,観光,2〜5人,女性,60代以上,観光案内,,,,,"ゆのくにの森, 日本自動車博物館, 那谷寺","じゃらん, 個別のパンフレット",,,,,那谷寺、ゆのくにの森に行くとのことで加賀周遊バスキャンバスをご案内しました。（田中）
2025/05/30,電話,1.日本,10時台,観光,個人,男性,60代以上,交通,,バス,石川動物園,,,,,,,,電話にて、石川動物園までバスでの行き方のお問い合わせ、お伝えしました(見付)
2025/05/30,窓口,1.日本,11時台,観光,個人,女性,60代以上,周辺店舗、飲食店,,,,行松旭松堂,,,,,,,行松旭松堂に行きたい、福井駅に行く電車の時効のお問い合わせとお問い合わせ、見て歩きマップをお渡しして案内しました(大音)
2025/05/30,窓口,1.日本,15時台,観光,個人,男性,40代から50代,交通,,電車とバス,辰口温泉,,,,,,,,小松駅から辰口温泉までのルートのご案内(見付)
2025/05/31,電話,1.日本,08時台,観光,個人,男性,40代から50代,小松駅の電話番号,小松駅,,,,,,,,,,小松の電話番号のお問い合わせ、調べてお伝えしました　(大音)
2025/05/31,窓口,1.日本,10時台,観光,2〜5人,女性,20代から30代,交通,,バス,木場潟公園,,,,,,,,木場潟公園へのバス時刻と障害者手帳が使えるか。時刻表お渡ししバスの中で聞いて下さい。と伝えしました。周辺の観光はちょこっとこまつ観光、食事はKomatsu Nineをお渡ししました。(林)
2025/05/31,窓口,3.欧米,11時台,観光,個人,女性,20代から30代,交通,,バス,イオンモール,,,,,,,,イオンモールへのバス案内。イオンモール行きが出てしまった後だったので麦口線糸町で下車、徒歩を案内しました。(林)
2025/05/31,窓口,1.日本,11時台,市民利用,個人,女性,60代以上,Komatsu九館内,UNICOFFEE,,,,,,,,,,
2025/05/31,窓口,1.日本,11時台,観光,2〜5人,女性,40代から50代,周辺店舗、飲食店,,,,小松うどん、塩焼きそば,,,,,,,周辺で小松うどんを食べたい。つるっとを案内しました。(林)
2025/05/31,窓口,1.日本,13時台,観光,個人,男性,60代以上,観光案内,,,,,"みよっさ, こまつの杜",見て歩きマップ,,,,,周辺で観光できる所はあるかとのお問い合わせ。みてあるきマップとちょこっと小松観光を見せながらご案内しました（田中）
2025/05/31,窓口,1.日本,13時台,市民利用,個人,女性,40代から50代,物産,,,,,,,駅弁,,,,
2025/05/31,窓口,1.日本,13時台,市民利用,個人,男性,20代から30代,物産,,,,,,,取扱いのないもの（金沢土産、栗蒸し羊羹等）,,,,森八の大福はあるかとのお問い合わせ。
2025/06/01,窓口,2.アジア,10時台,観光,個人,男性,20代から30代,Komatsu九館内,切手を買える所,,,,,,,,,,日曜の為コンビニをご案内(見付)
2025/06/01,窓口,1.日本,11時台,市民利用,個人,女性,20代から30代,Komatsu九館内,お手洗い,,,,,,,,,,
2025/06/01,窓口,1.日本,11時台,市民利用,個人,女性,40代から50代,Komatsu九館内,お手洗い,,,,,,,,,,
2025/06/02,窓口,1.日本,09時台,市民利用,個人,男性,60代以上,交通,,タクシー,安宅住吉神社、勧進帳ものがたり館,,,,,,,,水曜日にお客さんが来るので安宅の関など回りたい。バスというわけにいかない。とのことで、小松市のライドシェアのカード持ってこられたが、タクシー会社さんに相談されたらどうでしょう。タクシーの電話番号表を渡しました。安宅の関は水曜日はお休みで安宅住吉神社を案内しました。(林)
2025/06/02,窓口,1.日本,11時台,観光,2〜5人,女性,40代から50代,交通,,レンタカー,ハニベ巌窟院,,,,,,,,ハニべ巌窟院、苔の里、工芸村へバスで行きたい。ハニべ巌窟院のバス時刻表を見て説明しましたが、バスが少なくここへ行ったら次に他に行っても時間が少なかったり、閉まっている可能性もある。レンタカーを案内しました。(林)
2025/06/02,窓口,1.日本,09時台,ビジネス,2〜5人,男女,40代から50代,シェアサイクル,シェアサイクル,,,,,,,,,,シェアサイクルの自転車置き場はどこかのお問い合わせ　お伝えしました(大音)
2025/06/02,窓口,1.日本,17時台,観光,個人,男性,40代から50代,宿泊,,,,,,,,近くの安いホテル,,,宿泊先一覧をお渡し、お問い合わせ下さい。伝えしました。(林)
2025/06/03,窓口,2.アジア,09時台,観光,2〜5人,男女,40代から50代,交通,,レンタカー,日本レンタカー,,,,,,,,日本レンタカーへ行きたい。地図で案内しました。(林)
2025/06/03,窓口,3.欧米,10時台,観光,個人,女性,40代から50代,交通,,バス,苔の里,,,,,,,,苔の里へのバスでの行き方。最寄りのバス乗り場無し。那谷寺へは時刻表をお渡ししました。(林)
2025/06/03,窓口,1.日本,15時台,市民利用,個人,女性,60代以上,周辺店舗、飲食店,,,,ランチ,,,,,,,吉竹町、どん吉に行くバスのお問い合わせ　案内しました(大音)
2025/06/04,窓口,2.アジア,09時台,観光,個人,男女,40代から50代,周辺店舗、飲食店,,,,イオンモール,,,,,,,イオンモールのバス乗り場と時刻のお問い合わせ　お伝えしました（大音)
2025/06/04,窓口,1.日本,12時台,ビジネス,個人,女性,40代から50代,Komatsu九館内,お手洗い,,,,,,,,,,トイレとパン屋のお問い合わせ　お伝えしました　(大音)
2025/06/05,電話,1.日本,10時台,観光,個人,男性,60代以上,周辺店舗、飲食店,,,,団体利用できる店,,,,,,,鹿児島から40名ほどの団体旅行計画しているが、夕食に利用できる店はあるかとのお問い合わせ。小松駅周辺にお泊りとのこと。送迎バスのある南月と梅八をご案内、予約電話番号もお伝えしました（田中）
2025/06/05,窓口,1.日本,16時台,観光,2〜5人,女性,60代以上,交通,,バス,佐野線,,,,,,,,
2025/06/05,窓口,1.日本,16時台,市民利用,個人,男性,60代以上,物産,,,,,,,取扱いのないもの（金沢土産、栗蒸し羊羹等）,,,,
2025/06/06,窓口,1.日本,09時台,観光,個人,男性,20代から30代,観光案内,,,,,安宅住吉神社、安宅の関,個別のパンフレット,,,,,安宅の関周辺の地図はないか
2025/06/06,窓口,1.日本,11時台,市民利用,個人,男性,60代以上,周辺店舗、飲食店,,,,小松うどん、塩焼きそば,,,,,,,めん塾に行きたいとのこと。タクシーで15分ほどお伝えしました。（田中）
2025/06/06,窓口,2.アジア,12時台,観光,2〜5人,男女,40代から50代,交通,,バス,小松空港,,,,,,,,韓国からお越しのご夫婦。加賀温泉駅と小松空港までのアクセスのお問い合わせ。（田中）
2025/06/06,窓口,1.日本,12時台,観光,個人,女性,40代から50代,物産,,,,,,,食品,,,,加越のおろしたれはあるかとのお問い合わせ。昨年冬に買って美味しかった為また買いに来たとのことでした。（田中）
2025/06/07,窓口,1.日本,11時台,観光,個人,男性,20代から30代,観光案内,,,,,小松市,じゃらん,,,,,小松市の無料のパンフレットが欲しい。棚を案内。パンフレットお渡ししました。（林)
2025/06/07,窓口,1.日本,13時台,観光,2〜5人,男女,40代から50代,交通,,バス,安宅住吉神社、勧進帳ものがたり館,,,,,,,,安宅の関へのバスでの行き方。時刻表お渡し。安宅住吉神社とものがたり館案内。（林)
2025/06/07,窓口,2.アジア,14時台,観光,個人,男性,20代から30代,交通,,バス,十二ヶ滝,,,,,,,,十二ヶ滝までに行きたいとのこと。バス大杉線とタクシーをご案内しました。（田中）
2025/06/07,窓口,1.日本,15時台,観光,家族連れ,男女,40代から50代,交通,,徒歩,芳生堂にあんみつを食べに行きたい。,,,,,,,,地図を見て案内しました。(林)
2025/06/07,窓口,1.日本,11時台,観光,個人,男性,60代以上,観光案内,,,,,みよっさ,見て歩きマップ,,,,,みよっさの場所をご案内しました（田中）
2025/06/07,窓口,1.日本,11時台,市民利用,個人,男性,60代以上,Komatsu九館内,お手洗い,,,,,,,,,,
2025/06/08,窓口,1.日本,14時台,観光,2〜5人,女性,40代から50代,Komatsu九館内,UNICOFFEE,,,,,,,,,,
2025/06/09,窓口,1.日本,09時台,市民利用,個人,女性,40代から50代,交通,,駐車場,駐車場の場所など問い合わせ,,,,,,,,
2025/06/09,窓口,2.アジア,09時台,ビジネス,個人,男性,40代から50代,落とし物について,落とし物について,,,,,,,,,,金沢駅でiPadを落とされたとのこと。交番と金沢駅にご連絡をしていただくようお伝えしました（田中）
2025/06/09,窓口,1.日本,11時台,観光,2〜5人,男女,60代以上,観光案内,,,,,"ゆのくにの森, 那谷寺","見て歩きマップ, 個別のパンフレット",,,,,那谷寺、ゆのくにの森、山中温泉へのルートのお問い合わせ。キャンバスやバス粟津線をご案内しました（田中）
2025/06/10,窓口,1.日本,09時台,ビジネス,2〜5人,男性,40代から50代,Komatsu九館内,お手洗い,,,,,,,,,,
2025/06/10,窓口,1.日本,09時台,ビジネス,2〜5人,男性,40代から50代,周辺店舗、飲食店,,,,ランチ,,,,,,,カブーレ、つねを案内しました。(林)
2025/06/10,窓口,1.日本,09時台,観光,個人,女性,40代から50代,交通,,徒歩,安宅住吉神社、勧進帳ものがたり館,,,,,,,,普段トレッキングをしているので徒歩で行きたい。バスの時刻表とタクシーも案内しました。(林)
2025/06/10,窓口,1.日本,09時台,ビジネス,2〜5人,男性,60代以上,Komatsu九館内,カブーレ,,,,,,,,,,
2025/06/10,窓口,1.日本,10時台,市民利用,家族連れ,男女,60代以上,交通,,バス,イオンモール小松,,,,,,,,時刻表と乗り場をご案内しました。(林)
2025/06/10,窓口,1.日本,12時台,観光,個人,女性,40代から50代,交通,,徒歩,宮本三郎美術館,,,,,,,,宮本三郎美術館への行き方。材木町の街並みを見て、すみげんさんの蕎麦も食べたい。見て歩きマップで案内しました。(林)
2025/06/10,窓口,1.日本,12時台,観光,個人,男性,60代以上,周辺店舗、飲食店,,,,ランチ,,,,,,,つるっとへ行きたい。地図で案内しました。(林)
2025/06/10,窓口,1.日本,12時台,観光,家族連れ,男女,20代から30代,交通,,バス,弁慶スタジアム,,,,,,,,弁慶スタジアムに行きたい。バスと徒歩の案内。石川ミリオンスターズ対阪神タイガース(ファーム)交流戦(林)
2025/06/10,窓口,1.日本,14時台,ビジネス,個人,男性,60代以上,交通,,バス,ルートイングランティア,,,,,,,,グランティアホテルまでバスでの行き方のご案内(見付)
2025/06/11,窓口,1.日本,15時台,観光,個人,男性,20代から30代,Komatsu九館内,お手洗い,,,,,,,,,,
2025/06/11,窓口,1.日本,13時台,ビジネス,個人,男性,20代から30代,Komatsu九館内,お手洗い,,,,,,,,,,
2025/06/12,電話,1.日本,10時台,観光,個人,男性,20代から30代,宿泊,,,,,,,,粟津温泉,,,小松駅から粟津温泉に行くバス時刻、コンビニ、の有無のお問い合わせ、時刻、近くにドラッグストアがある事をお伝えしました（大音）
2025/06/12,窓口,1.日本,09時台,市民利用,個人,男性,60代以上,Komatsu九館内,UNICOFFEE,,,,,,,,,,
2025/06/12,窓口,1.日本,09時台,観光,個人,男性,60代以上,Komatsu九館内,お手洗い,,,,,,,,,,
2025/06/12,窓口,1.日本,13時台,市民利用,個人,女性,40代から50代,周辺店舗、飲食店,,,,ランチ,,,,,,,定食屋をお探しとのこと。辻屋商店食堂をご案内しました。（田中）
2025/06/12,窓口,1.日本,10時台,観光,個人,男性,60代以上,周辺店舗、飲食店,,,,ニッポンレンタカー,,,,,,,地図を見て案内しました。(林)
2025/06/13,電話,1.日本,10時台,観光,個人,女性,20代から30代,小松駅周辺で持ち込みで飲食できる所,小松駅周辺で持ち込みで飲食できる所,,,,,,,,,,"小松駅周辺で持ち込みで飲食できる所はあるかとのこと。お子様5名、大人4名。
日曜日に利用したいとのことだったのでサイエンスのレインボーオアシス（休憩所・40名利用可能•赤ちゃんスペースあり）をご案内しました。（田中）"
2025/06/13,窓口,1.日本,13時台,観光,2〜5人,男女,20代から30代,Komatsu九館内,新幹線を見れる所,,,,,,,,,,新幹線を見れる所のお問い合わせ、車でお越しだったのでトレインパークを案内しました　（大音）
2025/06/14,窓口,1.日本,17時台,ビジネス,個人,男性,40代から50代,Komatsu九館内,コワーキングエリア,,,,,,,,,,コワーキングの利用方法を知りたいとお問い合わせで、ナインの事務所を案内し、小坂さんが対応しました(大音)
2025/06/14,窓口,1.日本,18時台,観光,2〜5人,女性,60代以上,Komatsu九館内,UNICOFFEE,,,,,,,,,,
2025/06/15,窓口,1.日本,11時台,観光,個人,男性,60代以上,観光案内,,,,,苔の里,"じゃらん, 見て歩きマップ, 個別のパンフレット",,,,,苔の里に行きたいとのこと。タクシーをご案内しました。また山代温泉にお泊りとの事だったので、キャンバスもご案内しました。（田中）
2025/06/15,窓口,1.日本,12時台,観光,個人,男性,20代から30代,Komatsu九館内,カブーレ,,,,,,,,,,
2025/06/15,窓口,3.欧米,14時台,観光,2〜5人,男女,60代以上,交通,,鉄道,日本自動車博物館,,,,,,,,自動車博物館、ショッピングモール　地図で案内　バス時刻表お渡ししました。(林)
2025/06/16,窓口,1.日本,10時台,観光,個人,男性,20代から30代,観光案内,,,,,日本自動車博物館,お渡しなし,,,,,日本自動車博物館までのアクセス、小松駅からだと20分、粟津駅からだと10分ほどとご案内。タクシーをご案内しました。（田中）
2025/06/16,窓口,1.日本,10時台,市民利用,個人,男性,60代以上,駐車場,駐車場,,,,,,,,,,駐車場のお問い合わせ　サイエンスの駐車場を案内しました　(大音)
2025/06/16,窓口,1.日本,10時台,市民利用,個人,女性,60代以上,交通,,バス,加茂整形,,,,,,,,県外から加茂整形までこられたとのこと。アクセスとランチのお問い合わせ。竹屋をご案内。寺井線で梯で下車とご案内しました。（田中）
2025/06/16,窓口,1.日本,12時台,観光,個人,女性,60代以上,駅,駅,,,,,,,,,,小松駅に来たというのを小松駅のロゴを写メを撮りたいというお問い合わせで、南口の方から見える場所をご案内しました　(大音)
2025/06/16,窓口,1.日本,13時台,観光,個人,男性,40代から50代,シェアサイクルのお問い合わせ,シェアサイクルのお問い合わせ,,,,,,,,,,シェアサイクルの返却が処理されているかのお問い合わせ、アプリからのご利用だった為、お問い合わせ先の電話番号をお伝えしました　(大音)
2025/06/17,電話,1.日本,11時台,観光,個人,男性,40代から50代,温泉について,温泉について,,,,,,,,,,小松市内の温泉についてのお問い合わせ。無色透明のお湯とご案内。また各温泉協会も一緒にご案内しました（田中）
2025/06/18,電話,1.日本,16時台,観光,個人,女性,40代から50代,宿泊,,,,,,,,アパホテル,,,ハイパーホテルを予約しようとしたらいっぱいだった。駅近くで、1人で居酒屋に行きたいのでそちらも近くにあるといい。
2025/06/18,電話,1.日本,16時台,ビジネス,個人,女性,40代から50代,宿泊,,,,,,,,アパホテル,,,ハイパーホテルがいっぱいだった。駅の周辺で、1人で居酒屋とか食べるところがあるホテル。アパホテル他案内し、ホテルで近くで食事できるところを聞いてください。伝えしました。(林)
2025/06/19,窓口,不明,13時台,観光,6〜9人,男女,40代から50代,Komatsu九館内,Komatsu九について,,,,,,,,,,お祈りをするスペースはないかのお問い合わせ　ない事をお伝えしました　(大音)
2025/06/20,窓口,1.日本,18時台,観光,2〜5人,男性,20代から30代,周辺店舗、飲食店,,,,"ディナー, 小松うどん、塩焼きそば",,,,,,,Kaga Spa Trail Endurance100（マラソン）でお越しの男性3名。ご当地グルメをお探しとのこで勝っちゃんをご案内しました。(田中)
2025/06/21,電話,1.日本,11時台,市民利用,個人,男性,60代以上,交通,,駐車場,駐車場の場所など問い合わせ,,,,,,,,立体駐車場の場所と料金のご案内(見付)
2025/06/21,窓口,2.アジア,10時台,観光,個人,女性,40代から50代,交通,,バス,市内,,,,,,,,中国圏のお客様、循環バスのご利用で料金のご案内(見付)
2025/06/22,窓口,2.アジア,09時台,観光,個人,女性,20代から30代,交通,,バス,イオンモール,,,,,,,,イオンモールのバス乗り場ご案内(林)
2025/06/22,電話,1.日本,13時台,市民利用,個人,女性,60代以上,宿泊,,,,,,,,おびし荘,,,おびし荘の電話番号のお問い合わせ。HPの問い合わせ番号をご案内しました（田中）
2025/06/23,窓口,1.日本,10時台,観光,2〜5人,男女,40代から50代,交通,,バス,小松空港,,,,,,,,
2025/06/23,窓口,1.日本,10時台,観光,個人,男性,20代から30代,交通,,バス,イオンモール,,,,,,,,時刻表お渡しして乗り場案内
2025/06/23,窓口,2.アジア,17時台,観光,2〜5人,男女,20代から30代,宿泊のキャンセル代理,宿泊キャンセル,,,,,,,,,,
2025/06/24,窓口,1.日本,10時台,観光,個人,男性,40代から50代,Komatsu九館内,喫煙所,,,,,,,,,,
2025/06/24,窓口,1.日本,10時台,観光,6〜9人,男性,60代以上,周辺店舗、飲食店,,,,小松うどん、塩焼きそば,,,,,,,秋田から来られた男性。お昼に駅周辺のランチをお探し。竹屋、アルバ、つるっとなどをご案内。（田中）
2025/06/25,窓口,1.日本,11時台,ビジネス,2〜5人,男性,40代から50代,周辺店舗、飲食店,,,,ランチ,,,,,,,お昼の食事のお問い合わせ　勝っちゃん、アルバ、つるっとを安心しました　(大音)
2025/06/26,窓口,1.日本,13時台,市民利用,個人,女性,40代から50代,交通,,バス,片山津温泉までのアクセス,,,,,,,,片山津温泉までのアクセス　電車で加賀温泉駅→バスをご案内しました。（田中）
2025/06/26,電話,1.日本,14時台,観光,個人,男性,60代以上,周辺店舗、飲食店,,,,喜多八のパンフレット,,,,,,,喜多八のパンフレットのありますか。問い合わせ。喜多八に直接お電話してください。お伝えしました。(林)
2025/06/27,窓口,1.日本,09時台,ビジネス,2〜5人,男性,40代から50代,物産,,,,,,,酒,,,,ししのさとのお酒のお問い合わせ、直接ししのさとに電話することをお伝えしました　(林)
2025/06/28,窓口,1.日本,08時台,観光,個人,男性,60代以上,シェアサイクル,シェアサイクル,,,,,,,,,,シェアサイクルについてお問い合わせ。乗り場、乗り方などお伝えしました（田中）
2025/06/28,窓口,1.日本,10時台,観光,個人,女性,40代から50代,観光案内,,,,,九谷陶芸村,お渡しなし,,,,,九谷陶芸村までのアクセス。バス佐野線とのみバスをご案内しました（田中）
2025/06/28,窓口,1.日本,10時台,市民利用,個人,女性,60代以上,Komatsu九館内,お手洗い,,,,,,,,,,
2025/06/28,窓口,1.日本,10時台,市民利用,個人,女性,40代から50代,Komatsu九館内,クーリングシェルター,,,,,,,,,,小松駅のクーリングシェルターの場所のお問い合わせ。カブーレとギャラリースペースをご案内しました田中）
2025/06/29,電話,1.日本,08時台,市民利用,個人,女性,60代以上,周辺店舗、飲食店,,,,行松,,,,,,,行松の電話番号のお問い合わせ（田中）
2025/06/29,窓口,1.日本,11時台,観光,個人,男女,40代から50代,観光案内,,,,,木場潟公園,お渡しなし,,,,,木場潟公園までのアクセス、タクシーをご案内しました（田中）
